comprador,correo,cantidad
Andrea Lopez,andrea1@test.com,1
Carlos Ruiz,carlos1@test.com,1
Maria Fernandez,maria1@test.com,2
Jose Torres,jose1@test.com,1
Lucia Vargas,lucia1@test.com,1
Pedro Gomez,pedro1@test.com,2
Sofia Ramirez,sofia1@test.com,1
Diego Castillo,diego1@test.com,1
Valentina Mora,valentina1@test.com,1
Fernando Diaz,fernando1@test.com,2
Camila Rojas,camila1@test.com,1
Miguel Herrera,miguel1@test.com,1
Isabella Chavez,isabella1@test.com,1
Sebastian Nunez,sebastian1@test.com,2
Daniela Flores,daniela1@test.com,1
Alejandro Rios,alejandro1@test.com,1
Gabriela Paz,gabriela1@test.com,1
Ricardo Leon,ricardo1@test.com,2
Paula Medina,paula1@test.com,1
Andres Salas,andres1@test.com,1
